nivel,periodo,metrica,valor,unidad,tipo_dato,fuente,url,periodo_año
gubernamental,2020,incidentes_totales_estado,226,conteo,registro_administrativo,CERT.ar - Informe de gestión 2021,https://www.argentina.gob.ar/noticias/se-publico-el-informe-anual-del-certar,2020
gubernamental,2021,incidentes_totales_estado,591,conteo,registro_administrativo,CERT.ar - Informe de gestión 2021,https://www.argentina.gob.ar/noticias/se-publico-el-informe-anual-del-certar,2021
gubernamental,2022,incidentes_totales_estado,335,conteo,registro_administrativo,CERT.ar - Informe de gestión 2022,https://www.argentina.gob.ar/noticias/informe-de-gestion-certar-2022,2022
gubernamental,2022,incidentes_criticos_sector_estado,71,conteo,registro_administrativo,CERT.ar - Informe de gestión 2022,https://www.argentina.gob.ar/noticias/informe-de-gestion-certar-2022,2022
gubernamental,2022,incidentes_sector_finanzas,185,conteo,registro_administrativo,CERT.ar - Informe de gestión 2022,https://www.argentina.gob.ar/noticias/informe-de-gestion-certar-2022,2022
gubernamental,2023,incidentes_totales_estado,379,conteo,registro_administrativo,CERT.ar - Informe de gestión 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/informe_cert-ar_2024.pdf,2023
gubernamental,2024,incidentes_totales_estado,438,conteo,registro_administrativo,CERT.ar - Informe de gestión 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/informe_cert-ar_2024.pdf,2024
gubernamental,2024,incidentes_sector_estado_gob,267,conteo,registro_administrativo,CERT.ar - Informe de gestión 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/informe_cert-ar_2024.pdf,2024
gubernamental,2024,pct_incidentes_phishing,31,porcentaje,registro_administrativo,CERT.ar - Informe de gestión 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/informe_cert-ar_2024.pdf,2024
personal,2019-2020,reportes_delitos_informaticos,2581,conteo,registro_administrativo,UFECI - Informe de gestión (abr2019-mar2020),https://www.fiscales.gob.ar/ciberdelincuencia/,2020
personal,2021,reportes_delitos_informaticos,22364,conteo,registro_administrativo,UFECI - Informe de gestión 2021,https://www.fiscales.gob.ar/ciberdelincuencia/,2021
personal,2022,reportes_delitos_informaticos,32395,conteo,registro_administrativo,UFECI - Informe de gestión 2022-2023,https://www.fiscales.gob.ar/ciberdelincuencia/,2022
personal,2023,reportes_delitos_informaticos,28456,conteo,registro_administrativo,UFECI - Informe de gestión 2023,https://www.fiscales.gob.ar/ciberdelincuencia/la-unidad-fiscal-especializada-en-ciberdelincuencia-senalo-un-alza-continua-de-los-delitos-informaticos-en-su-informe-de-gestion-2023/,2023
personal,2024,reportes_delitos_informaticos,34468,conteo,registro_administrativo,UFECI - Informe de gestión 2024,https://www.fiscales.gob.ar/ciberdelincuencia/la-unidad-fiscal-especializada-en-ciberdelincuencia-informa-que-en-2024-se-registro-un-aumento-interanual-del-211-en-la-cantidad-de-reportes-de-delitos-informaticos/,2024
personal,2024,pct_fraude_en_linea,63,porcentaje,registro_administrativo,UFECI - Informe de gestión 2024,https://www.fiscales.gob.ar/ciberdelincuencia/la-unidad-fiscal-especializada-en-ciberdelincuencia-informa-que-en-2024-se-registro-un-aumento-interanual-del-211-en-la-cantidad-de-reportes-de-delitos-informaticos/,2024
personal,2024,accesos_ilegitimos_total,2877,conteo,registro_administrativo,UFECI - Informe de gestión 2024,https://comercioyjusticia.info/justicia/reportes-de-delitos-informaticos-en-2024-hubo-un-aumento-interanual-del-211/,2024
personal,2024,pct_accesos_ilegitimos_whatsapp,30,porcentaje,registro_administrativo,UFECI - Informe de gestión 2024,https://comercioyjusticia.info/justicia/reportes-de-delitos-informaticos-en-2024-hubo-un-aumento-interanual-del-211/,2024
personal,2024,pct_accesos_ilegitimos_mercadopago,26,porcentaje,registro_administrativo,UFECI - Informe de gestión 2024,https://comercioyjusticia.info/justicia/reportes-de-delitos-informaticos-en-2024-hubo-un-aumento-interanual-del-211/,2024
personal,~2021,pct_usuarios_victimas_hackeo_fraude,9,porcentaje,encuesta_autoreportada,D'Alessio IROL / CertiSur - Encuesta de seguridad digital,https://www.perfil.com/noticias/sociedad/una-investigacion-encontro-que-el-43-de-los-argentinos-sufrio-un-fraude-o-hackeo-digital.phtml,2021
personal,2024,pct_usuarios_victimas_hackeo_fraude,31,porcentaje,encuesta_autoreportada,D'Alessio IROL / CertiSur - Encuesta de seguridad digital,https://www.perfil.com/noticias/sociedad/una-investigacion-encontro-que-el-43-de-los-argentinos-sufrio-un-fraude-o-hackeo-digital.phtml,2024
personal,2025,pct_usuarios_victimas_hackeo_fraude,33,porcentaje,encuesta_autoreportada,D'Alessio IROL / CertiSur - Encuesta de seguridad digital,https://www.perfil.com/noticias/sociedad/una-investigacion-encontro-que-el-43-de-los-argentinos-sufrio-un-fraude-o-hackeo-digital.phtml,2025
personal,2025-2026,pct_usuarios_victimas_hackeo_fraude,43,porcentaje,encuesta_autoreportada,D'Alessio IROL / CertiSur - Encuesta de seguridad digital,https://www.perfil.com/noticias/sociedad/una-investigacion-encontro-que-el-43-de-los-argentinos-sufrio-un-fraude-o-hackeo-digital.phtml,2026
organizacional,2026,pct_orgs_no_preparadas_computacion_cuantica,77,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2026,https://www.pwc.com.ar/es/publicaciones/encuesta-digital-trust.html,2026
organizacional,2026,pct_orgs_invierte_proactivo,23,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2026,https://www.argencon.org/pwc-solo-el-6-de-las-organizaciones-argentinas-se-considera-capaz-de-resistir-ciberataques-complejos/,2026
organizacional,2022,pct_orgs_espera_aumento_ciberataques,41,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2022,https://www.pwc.com.ar/es/assets/document/digital-trust-insights-2022-argentina.pdf,2022
organizacional,2022,pct_orgs_complejidad_operativa_riesgo_preocupante,63,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2022,https://www.pwc.com.ar/es/assets/document/digital-trust-insights-2022-argentina.pdf,2022
organizacional,2022,pct_orgs_procesos_formales_seguridad_datos,20,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2022,https://www.pwc.com.ar/es/assets/document/digital-trust-insights-2022-argentina.pdf,2022
organizacional,2022,pct_orgs_evaluacion_formal_riesgo_terceros,30,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2022,https://www.pwc.com.ar/es/assets/document/digital-trust-insights-2022-argentina.pdf,2022
organizacional,2022,pct_orgs_espera_aumento_ataques_nube,50,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2022,https://www.pwc.com.ar/es/assets/document/digital-trust-insights-2022-argentina.pdf,2022
personal,2018-2019,pct_usuarios_password_debil,97,porcentaje,encuesta_autoreportada,Avast - Encuesta seguridad Argentina,https://inrosario.com.ar/noticias/-ocio/tecnologia/75132-97-de-los-argentinos-estan-usando-contrasenas-debiles.html,2019
personal,2018-2019,pct_usuarios_reutiliza_password,42,porcentaje,encuesta_autoreportada,Avast - Encuesta seguridad Argentina,https://inrosario.com.ar/noticias/-ocio/tecnologia/75132-97-de-los-argentinos-estan-usando-contrasenas-debiles.html,2019
personal,2018-2019,pct_usuarios_usa_gestor_password,2,porcentaje,encuesta_autoreportada,Avast - Encuesta seguridad Argentina,https://inrosario.com.ar/noticias/-ocio/tecnologia/75132-97-de-los-argentinos-estan-usando-contrasenas-debiles.html,2019
personal,2019,pct_usuarios_no_cambia_password_frecuencia,64,porcentaje,encuesta_autoreportada,Kaspersky Lab / CORPA - Encuesta regional,https://www.ambito.com/informacion-general/informatica/alerta-hacker-6-cada-10-argentinos-no-cambian-sus-contrasenas-frecuencia-n5013743,2019
personal,2019,pct_usuarios_solo_3_passwords,32,porcentaje,encuesta_autoreportada,Kaspersky Lab / CORPA - Encuesta regional,https://www.ambito.com/informacion-general/informatica/alerta-hacker-6-cada-10-argentinos-no-cambian-sus-contrasenas-frecuencia-n5013743,2019
personal,2020-2021,reportes_delitos_informaticos,14583,conteo,registro_administrativo,UFECI - Informe de gestión 2020 (ed. 2021),https://www.fiscales.gob.ar/ciberdelincuencia/,2021
organizacional,2025,pct_orgs_prioriza_mitigacion_riesgo_cibernetico,57,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2025,https://www.pwc.com.ar,2025
organizacional,2025,pct_orgs_prioriza_mitigacion_riesgo_digital_tecnologico,57,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2025,https://www.pwc.com.ar,2025
organizacional,2025,pct_orgs_despliega_computacion_cuantica_ciberdefensa,6,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2025,https://www.pwc.com.ar,2025
organizacional,2025,pct_orgs_visibilidad_ot_implementada,20,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2025,https://www.pwc.com.ar,2025
organizacional,2025,pct_orgs_asigna_dependencias_tecnologicas_mapeadas,26,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2025,https://www.pwc.com.ar,2025
organizacional,2025,pct_orgs_anticipa_riesgos_macro_tecnologia_estrategia,22,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2025,https://www.pwc.com.ar,2025
organizacional,2025,pct_orgs_asigna_presupuesto_principales_riesgos,20,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2025,https://www.pwc.com.ar,2025
organizacional,2025,pct_orgs_informa_directorio_riesgos_regulacion,14,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2025,https://www.pwc.com.ar,2025
organizacional,2025,pct_orgs_colabora_otras_areas_empresa,9,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2025,https://www.pwc.com.ar,2025
organizacional,2025,pct_orgs_controles_respuesta_rapida_resiliencia,9,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2025,https://www.pwc.com.ar,2025
organizacional,2026,pct_orgs_aumenta_inversion_riesgos_geopolitico,43,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2026,https://www.pwc.com.ar,2026
organizacional,2026,pct_orgs_cambia_ubicacion_infraestructura_critica,20,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2026,https://www.pwc.com.ar,2026
organizacional,2026,pct_orgs_cambia_politicas_comerciales_operativas,40,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2026,https://www.pwc.com.ar,2026
organizacional,2026,pct_orgs_cambia_polizas_seguro_ciber,26,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2026,https://www.pwc.com.ar,2026
organizacional,2026,pct_orgs_cambia_lugar_actividad_comercial,23,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2026,https://www.pwc.com.ar,2026
organizacional,2026,pct_orgs_cambia_proveedores,26,porcentaje,encuesta_autoreportada,PwC Argentina - Digital Trust Insights 2026,https://www.pwc.com.ar,2026
